window_index,ClassPrior,Centroid,DiagGaussian,LinearSoftmax
107,0.07612456747,0.1404430362,0.3733882692,0.4165324447
108,0.2066486972,0.2780804467,0.3252910063,0.3105911854
109,0.1447502548,0.1973856209,0.348379055,0.4559271471
110,0.1494949495,0.1514201715,0.3038604858,0.3528370191
111,0.09966777409,0.1798236023,0.311372549,0.4584023271
112,0.09966777409,0.06783625731,0.2982279693,0.2897669291
113,0.1143473571,0.122721598,0.2924065618,0.4110455459
114,0.1617357002,0.2718752816,0.2140462212,0.388446263
115,0.06146572104,0.1567398119,0.3558304688,0.2747066063
116,0.1299790356,0.180424939,0.2904867757,0.2900716637
117,0.1349948079,0.1125558647,0.2926296889,0.3510627613
118,0.1349948079,0.304696449,0.289452496,0.3797057725
119,0.07200929152,0.1182795699,0.3109533364,0.2592463768
120,0.1399176955,0.07440261303,0.2815998555,0.2100198595
121,0.04830917874,0.1606920944,0.3443449754,0.4129654699
122,0.1705426357,0.2167178293,0.2990985578,0.3141422935
123,0.01025641026,0.1107491857,0.3487103175,0.3597781218
124,0.0322180917,0.05714285714,0.3806484296,0.2693624305
125,0.1161290323,0.1550909836,0.3874223602,0.2767854703
126,0.191272052,0.1798567214,0.2272203364,0.3491489723
127,0.1333333333,0.1420257205,0.3203114052,0.2720570439
128,0.05495818399,0.1576027504,0.3762060429,0.2897202701
129,0.2583732057,0.2253258485,0.197055252,0.351793261
130,0.2139699381,0.1265822785,0.2106491684,0.3976985245
131,0.2041553749,0.1366459627,0.395459204,0.4003443619
132,0.1818181818,0.179047619,0.2979591837,0.3200889644
133,0.147922999,0.1346474499,0.2920675522,0.4550915607
134,0.2245250432,0.08883630937,0.2421477126,0.4405813731
135,0.2564102564,0.06146572104,0.1671078651,0.4296762985
136,0.2127659574,0.08616780045,0.1854873336,0.3758632629
137,0.2139699381,0.1324486079,0.2642312642,0.4237301587
138,0.1925925926,0.08813559322,0.2130002769,0.3639668195
