window_index,DLinear,PatchTST,iTransformer,TimesNet,ZeroPred,Persistence,HAR_EWM
1319,0.433396101,0.4283789694,0.4170158803,0.4240643978,0.4272380769,0.5091655254,0.4234391749
1320,0.423089534,0.4042908251,0.4196617603,0.4188090265,0.4209727347,0.9673401713,0.418811053
1321,0.4381009638,0.4428475797,0.4255236089,0.4180572033,0.4208676815,0.476664573,0.4182551205
1322,0.4160428047,0.4067766964,0.4044834375,0.406493634,0.4085695446,1.763877749,0.4044652879
1323,0.4189831316,0.4101278782,0.4048327506,0.4055452049,0.4085121155,0.4342707694,0.4041728079
1324,0.4215184748,0.4208827317,0.4105961621,0.4085964262,0.412004143,0.4108478129,0.4070792198
1325,0.4150880575,0.4190678895,0.4048802555,0.4051111042,0.4114880562,0.6877171397,0.4073389769
1326,0.4238554239,0.4435327947,0.4117099345,0.416608423,0.4214064181,0.4255955219,0.4181030691
1327,0.424644202,0.4224252701,0.4073752165,0.4092478752,0.4136623144,1.617312789,0.412935406
1328,0.480266124,0.4788849056,0.4850673378,0.4802294075,0.4823545218,0.4971605837,0.4816404283
1329,0.4869526327,0.5061042905,0.4876589477,0.4811880589,0.4808401167,0.8102173805,0.4794603288
1330,0.5432238579,0.5279417634,0.5441973805,0.5403012037,0.5361750126,0.6110830903,0.5358746648
1331,0.5266887546,0.5513723493,0.514370203,0.5167347193,0.5181294084,3.117820501,0.5201422572
1332,0.5241668224,0.5659017563,0.5122332573,0.516749084,0.5160592198,0.7559635043,0.5166755319
1333,0.5342724323,0.5361694694,0.5209725499,0.5202701092,0.5201802254,0.5206158161,0.520768702
1334,0.5339915156,0.5323930383,0.5137292743,0.520509541,0.5202177763,0.5240719318,0.5208663344
1335,0.528803885,0.5349790454,0.5077527165,0.5100492835,0.5109701753,1.410187364,0.5105802417
1336,0.5147417784,0.5159727335,0.5139053464,0.5109042525,0.5103905201,0.5723928809,0.5102236867
1337,0.5231680274,0.5377717614,0.5171318054,0.5128688216,0.5100483298,0.5791904926,0.5097718239
1338,0.5066476464,0.5199680924,0.5002965927,0.5081839561,0.5048618317,1.055918813,0.5050475597
1339,0.5200674534,0.5195712447,0.5049100518,0.5104305744,0.5072900057,0.5271014571,0.5072312355
1340,0.5219327807,0.5520887971,0.5128536224,0.5124793649,0.5116211772,0.6481959224,0.5123176575
1341,0.5192220807,0.5197373033,0.5082719922,0.5086411834,0.512984097,0.7001683712,0.5147607923
1342,0.5264704823,0.5378283858,0.5102968216,0.5169451833,0.5162007809,0.5184206963,0.518217802
1343,0.5175327659,0.5241286755,0.5097928047,0.5009018779,0.502266705,1.964400768,0.510543406
1344,0.5154798031,0.5274268985,0.5104864836,0.5070666671,0.5071057677,0.5337306857,0.5129876137
1345,0.5149998665,0.5312505364,0.5079450607,0.5110245347,0.5090108514,0.6144983172,0.5169416666
1346,0.5145998597,0.5145452619,0.5121527314,0.5033515096,0.5056653619,0.9181699753,0.517582655
1347,0.5187844634,0.4921507835,0.515414834,0.5082976818,0.5094203353,0.5140903592,0.5190290213
1348,0.559148252,0.6005381346,0.5510068536,0.5537921786,0.554305017,0.6552889943,0.5628554225
1349,0.5598921776,0.5705992579,0.5593450069,0.5534903407,0.5542141795,0.5574840903,0.5617743134
1350,0.5814787745,0.5822493434,0.575380981,0.5709703565,0.5719324946,0.778209269,0.5777115822
1351,0.5837309957,0.5873183608,0.577067554,0.5714840293,0.5726917386,0.5725805163,0.5779821277
1352,0.5845687389,0.579031527,0.5789967179,0.5716449618,0.5739066601,0.5807725787,0.5780534744
1353,0.5812903047,0.5764538646,0.574031651,0.5724659562,0.5753445625,0.5918334723,0.5801491737
1354,0.582177639,0.58269912,0.5742484927,0.5763484836,0.5779705644,0.6078010201,0.5838084221
1355,0.5781713128,0.5650268197,0.5775620341,0.5761028528,0.5756540895,0.7811713219,0.5788302422
1356,0.5858194828,0.5939888954,0.5768675804,0.5813254714,0.5827166438,0.6056842804,0.5853336453
1357,0.5761733055,0.5808301568,0.5971493721,0.5783084035,0.5768820643,1.107957363,0.5769155025
1358,0.578160584,0.6024898887,0.5838067532,0.5773287416,0.5765094161,0.8362812996,0.5756602287
1359,0.5803354383,0.5823581815,0.5778052211,0.5785371661,0.576580286,0.5945378542,0.575715363
1360,0.6140317321,0.6093585491,0.6008093357,0.6058132052,0.6082472205,0.6100794673,0.6067298055
1361,0.6158874035,0.5990918279,0.6034111381,0.6088259816,0.6078803539,0.804491818,0.6063143611
1362,0.596974194,0.5996487141,0.5934029222,0.5906020999,0.5932149887,1.936875463,0.5936738849
1363,0.4727606773,0.4942383468,0.4910237789,0.4842576087,0.479462266,11.67625046,0.5077386498
1364,0.4821428955,0.4907201231,0.4942178726,0.4843722284,0.4748408794,0.9476928711,0.510371685
1365,0.4690116942,0.4938470423,0.4991174936,0.4827745259,0.4712044299,1.451259136,0.522603929
1366,0.460575968,0.4810374081,0.4698250294,0.4774696827,0.4595232904,2.431342363,0.5374078155
1367,0.4547713101,0.4787648022,0.4656718075,0.4620988369,0.4478596747,1.60032618,0.5023638606
1368,0.4482502639,0.4455039501,0.4670535624,0.4710395336,0.4529202878,0.7039320469,0.4989115894
1369,0.4430496395,0.4745618403,0.4690991938,0.4695123136,0.4530282021,0.4506851137,0.4961642325
1370,0.4937511384,0.5153554082,0.5159652829,0.5129289627,0.4974295795,0.9180721641,0.540661335
1371,0.4980685413,0.5254573226,0.5183999538,0.5193356872,0.5052904487,0.5368455052,0.545602262
1372,0.5054240227,0.5423805118,0.5393295884,0.5294401646,0.5173833966,0.5497228503,0.5617473125
1373,0.5407304168,0.5489103794,0.5783491731,0.5603365898,0.5476115346,0.660158217,0.6005925536
1374,0.5609540939,0.5746405721,0.5662677288,0.5709788203,0.5626428127,0.7333264351,0.6015816331
1375,0.5511632562,0.5647593141,0.5640507936,0.5715659857,0.5634327531,0.6596147418,0.594378531
1376,0.5460878015,0.5735887885,0.5630332828,0.5619097352,0.5547106862,1.823359132,0.5977929235
1377,0.5517318845,0.5607959032,0.5633971095,0.5678340793,0.5553711057,0.5662011504,0.5950722098
1378,0.5531302094,0.566434145,0.5763292909,0.5678355098,0.554392159,1.083232403,0.6006646156
1379,0.5514466763,0.5608610511,0.5572173595,0.5734823346,0.5631716251,0.9625182152,0.6007535458
