window_index,DLinear,PatchTST,iTransformer,TimeMixer,ZeroPred,Persistence,HAR_EWM
870,0.3552336395,0.2801660895,0.2730888128,0.3409507275,1.232930541,0.2988088429,0.4066743851
871,0.380227834,0.3318205476,0.2584048808,0.3171477318,1.261313796,0.3186402023,0.413258791
872,0.3473480642,0.2908382714,0.2577464283,0.331110388,1.314746737,0.3477281034,0.4307706058
873,0.3549937904,0.3440102637,0.3019322455,0.3432202637,1.376609802,0.4476518631,0.4522167742
874,0.3949103653,0.4123252332,0.3556676209,0.355098635,1.455712795,0.4787160158,0.4842822552
875,0.4533755779,0.5892013907,0.3524062634,0.390676409,1.461705685,0.7117040157,0.4873774052
876,0.4025036395,0.4342049658,0.3999174535,0.4072512686,1.420969009,0.3778939545,0.4884484708
877,0.3007857203,0.3266863525,0.4045619071,0.327986598,1.350299835,1.061253667,0.4294272959
878,0.3170824349,0.3101890385,0.3404886723,0.3278449774,1.309380651,0.5956003666,0.4003186226
879,0.3538309634,0.3622831404,0.3080582619,0.3733767271,1.355181813,0.6867608428,0.4150618613
880,0.3980908394,0.3946599066,0.3973942995,0.4179337919,1.445682049,0.4175036848,0.4543966055
881,0.4172569513,0.4094897807,0.3799974918,0.4111399651,1.426121116,0.631588757,0.4358272552
882,0.4689061344,0.4193052948,0.3721259534,0.4567984045,1.513464451,0.9253399372,0.453415513
883,0.6003662944,0.4749684632,0.3703482151,0.5573481321,1.632322788,1.545832276,0.4795598984
884,0.4981185198,0.4087630808,0.2942021787,0.4606269896,1.617785096,0.3494596779,0.4653977156
