window_index,DLinear,PatchTST
279,0.4854106903,0.4628319442
280,0.4718237817,0.5050304532
281,0.4950900376,0.5438178182
282,0.4965616465,0.5419278741
283,0.5038719177,0.6151253581
284,0.5390014648,0.6995725036
285,0.5133295655,0.5632791519
286,0.5716246963,0.5282252431
287,0.5431578755,0.5714369416
288,0.4775116742,0.4493164122
289,0.4936292171,0.4818201959
290,0.514364779,0.4945530891
291,0.5309656262,0.491517812
292,0.5252184868,0.5340368748
293,0.5396649241,0.5313239694
294,0.5321942568,0.493670553
295,0.548500061,0.5795484185
296,0.4570015967,0.4845495224
297,0.4060282707,0.4238024652
298,0.3437496126,0.3887899816
299,0.3506238461,0.3838136196
300,0.3532964289,0.41675511
301,0.3661271632,0.4568910897
302,0.4336010516,0.4167070687
303,0.5397830606,0.4874383509
304,0.2147770524,0.1994736642
305,0.1823485643,0.2078921795
306,0.1846152395,0.2174152136
307,0.1961401254,0.1944699734
308,0.1994954348,0.199453786
309,0.2157194465,0.209591344
310,0.2402209789,0.1954712868
311,0.2153841853,0.2363551855
312,0.2224306315,0.2265655398
313,0.3041426837,0.3110981882
314,0.2778915167,0.2516017258
315,0.3150375783,0.3062807918
316,0.2484989166,0.2789736092
317,0.2989163101,0.6072673798
318,0.3152705729,0.7845184207
319,0.3321981728,0.3794242144
320,0.4629774094,0.6427728534
321,0.3786694109,0.4589270353
322,0.3629147112,0.9329457283
323,0.3722997904,0.428635329
324,0.4788354337,0.6357017756
325,0.4883342683,0.4761898816
326,0.4151936769,0.3784228861
327,0.4158118963,0.4240163863
328,0.4197883606,0.4955880344
329,0.4012518823,0.4190672636
330,0.4349964559,0.5628771782
331,0.4516998827,0.4598841667
332,0.4493984282,0.447188735
333,0.4352116585,0.4061480463
334,0.4754225314,0.4470895231
335,0.5165334344,0.4247131348
336,0.5252754688,0.4715777338
337,0.526345253,0.7811524272
338,0.5330384374,0.8095346093
339,0.5198472738,0.6454593539
340,0.6227145195,0.6233376861
341,0.4896357954,0.5173852444
342,0.5380123258,0.6417064667
343,0.4943645895,0.5422634482
344,0.5560490489,0.6240375638
345,0.5711975694,0.7787082791
346,0.5755047202,0.814394474
347,0.5860752463,0.5478749871
348,0.5920268893,0.5837567449
