window_index,DLinear,PatchTST,iTransformer,TimesNet
430,0.4486121237,0.457953006,0.4464140534,0.4457615316
431,0.4467226267,0.4532164633,0.4493525326,0.4452285767
432,0.4302326441,0.4416761994,0.4240317941,0.4264230132
433,0.4277797341,0.428144455,0.4251096249,0.426956445
434,0.4253897071,0.431206435,0.4355935454,0.4265561402
435,0.428994596,0.4378570914,0.4316610098,0.4247117341
436,0.4374087155,0.4363815784,0.4317771792,0.4306311011
437,0.4337179661,0.4395065308,0.4314206541,0.4273210764
438,0.435787648,0.4464145005,0.4351790249,0.4265552759
439,0.436576128,0.4261009693,0.4354739487,0.4276700616
440,0.4306409061,0.4460166693,0.4291812479,0.4255611897
441,0.4290761352,0.4266536236,0.4290525317,0.4267181158
442,0.4296911359,0.4313373566,0.4277300537,0.4263677001
443,0.4337436259,0.4214502871,0.4301464558,0.4259282947
444,0.4363246262,0.426963985,0.4342154562,0.4296001196
445,0.43088305,0.4300218225,0.425450176,0.4249204099
446,0.4189924002,0.4150689542,0.4139674008,0.4140211344
447,0.4155389667,0.4243113101,0.4155776501,0.4144349694
448,0.4189926386,0.4289419949,0.4153245389,0.4160590768
449,0.4145276248,0.4105304182,0.4125120938,0.4141632617
450,0.4167335629,0.4190305173,0.4160395265,0.414260596
451,0.4170323312,0.4320810437,0.413812995,0.4175637662
452,0.4148145914,0.4192279577,0.4122582972,0.4120638669
453,0.4180172384,0.4211044312,0.4134338498,0.4131216407
454,0.4164663851,0.4225175977,0.4157712162,0.4145156443
455,0.4231858552,0.4191716909,0.414773494,0.416398108
456,0.4182708859,0.4207749963,0.4210374355,0.4159088731
457,0.4214405715,0.4114450812,0.4225070179,0.4144001901
458,0.4273682535,0.4301553369,0.4251668155,0.4216697216
459,0.4196465909,0.4198024273,0.4166221619,0.4149364829
460,0.4227825701,0.4237782657,0.4150667787,0.4150183201
461,0.4220151901,0.4162169099,0.416808933,0.4170058966
462,0.4199713767,0.4134927392,0.4179133475,0.41219908
463,0.4233973324,0.4200553894,0.4146737456,0.4086686671
464,0.4486175179,0.4521941543,0.4426612854,0.4411940873
465,0.4519615173,0.4499686956,0.4409639239,0.4466527402
466,0.4497112036,0.4577145278,0.4495208263,0.4463767111
467,0.4524236321,0.4589253068,0.4455786347,0.448533833
