window_index,ClassPrior,Centroid,DiagGaussian,LinearSoftmax
514,0.8391261733,1.102116596,7.649927996,0.7956327708
515,1.014274321,1.096974755,10.01579127,1.020533284
516,0.8654151514,1.104028647,6.995262973,0.8149963131
517,0.8872778523,1.114066358,8.134212783,0.8675216661
518,0.7515513611,1.121524043,5.49141744,0.6836607837
519,0.8391379836,1.111587711,7.32716727,0.8059512445
520,0.7909449684,1.09975076,6.643311358,0.7298804708
521,0.7428006709,1.109229472,5.824565191,0.6721140775
522,0.7340337414,1.114465315,4.700423277,0.6787864195
523,0.7033952532,1.107722255,4.751416683,0.6037945223
524,0.6639957408,1.118325042,3.914725635,0.5944176695
525,0.9266832699,1.115201074,7.096061609,0.8906883987
526,0.7865792192,1.118815677,5.467446138,0.7607761432
527,0.6639898356,1.120209923,3.355370422,0.5727294842
528,0.8216144587,1.109970846,6.667585782,0.7461618785
529,0.9442008897,1.113773927,8.769753562,1.00562366
530,0.887276376,1.109450095,8.514580995,0.8705865946
531,0.5807970119,1.128482783,1.541161741,0.5156157095
532,0.9485814018,1.104818938,7.783704842,0.8884956848
533,0.7559259681,1.114384445,5.473391392,0.6731470786
534,0.7909774469,1.098529107,6.821171883,0.7174759715
535,0.6902743849,1.094701743,4.545707459,0.5700064218
536,0.8653885781,1.102998924,6.986858456,0.7655594104
537,0.9179296271,1.109145234,8.20218022,0.9021169028
538,0.8084714459,1.104490783,6.254658218,0.7326800114
539,0.6683733004,1.093946659,3.481616319,0.4757709214
540,0.7997266608,1.100543566,5.797268657,0.6993075863
541,0.7384172061,1.117000611,4.432935412,0.6611387648
542,0.9310800213,1.105286339,9.146511989,0.9252352228
543,0.6333483949,1.10275376,3.303343654,0.4824226195
544,0.7909774469,1.096989671,6.060140581,0.7086228181
