window_index,DLinear,PatchTST,TiDE,TimeXer
412,0.1063403189,0.05677191541,0.05772770569,0.04553684965
413,0.1129279733,0.06053392217,0.06370870024,0.04838937148
414,0.1177287176,0.06298949569,0.0671787709,0.04733556136
415,0.1245302856,0.06081631407,0.07189926505,0.04783615097
416,0.1273824722,0.05601487681,0.07331930101,0.04964210466
417,0.1244289577,0.0511832051,0.06893340498,0.04961926118
418,0.1242389679,0.05633437634,0.06955643743,0.04974152148
419,0.1274109483,0.06355839223,0.07235150784,0.05350000784
420,0.1297871917,0.06727217138,0.07480607182,0.0563810654
421,0.1372059435,0.07481250167,0.08256189525,0.0565568544
422,0.1361171454,0.07078658044,0.07959804684,0.05469515547
423,0.1346451491,0.06629966199,0.0771901384,0.0549854748
424,0.1347541511,0.0618314445,0.07728718221,0.05728045478
425,0.135904789,0.06156408414,0.07792492211,0.05905235931
426,0.1384024769,0.0670709461,0.07964725047,0.06486772746
427,0.1418403387,0.0713500604,0.08251113445,0.06702522933
428,0.1419463307,0.06989570707,0.0831239,0.07096644491
429,0.1423228085,0.0701405108,0.08369303495,0.07199210674
430,0.1450082809,0.07185591757,0.08457510918,0.07326785475
431,0.1499263346,0.075451307,0.08902261406,0.07765450329
432,0.152953282,0.07525621355,0.09183824807,0.08125068992
433,0.1551962942,0.07680735737,0.09431117773,0.07681232691
434,0.1569236368,0.07945803553,0.09485289454,0.07808193564
435,0.1560964733,0.07948696613,0.09322021157,0.07742086798
436,0.155345425,0.07880238444,0.09204358608,0.07427955419
437,0.1555737704,0.07945280522,0.09150681645,0.07310464233
438,0.1542124599,0.08293953538,0.09137514979,0.07457553595
439,0.1534553617,0.08686172217,0.09193911403,0.07578720897
440,0.1542626619,0.08784044534,0.09348358959,0.07828549296
441,0.1548792869,0.08665267378,0.0952199921,0.07932203263
442,0.1557755917,0.08368632942,0.09561190009,0.08081834018
443,0.1584707946,0.08600407094,0.09632908553,0.08443885297
444,0.1584345251,0.08894179016,0.09610012174,0.09042486548
445,0.1607424319,0.0905623436,0.0960182026,0.08885899931
446,0.1672224849,0.09566711634,0.1008392349,0.08587539941
447,0.1673122048,0.09940746427,0.1018620431,0.085051395
448,0.170367524,0.1034108028,0.1032221839,0.08654242009
449,0.1732793301,0.103512235,0.105097957,0.08247946948
450,0.1752042174,0.0967009142,0.1077214703,0.08239421248
451,0.1793351769,0.1011529341,0.1096754074,0.08312114328
