window_index,DLinear,PatchTST,iTransformer,TimeMixer,FreTS,TimeXer,ZeroPred,Persistence,HAR_EWM
31,0.4769385159,0.481941998,0.4868365228,0.4745425284,0.4768026769,0.4746732116,0.4737491608,0.4745434225,0.5135015249
32,0.4858958721,0.4689025879,0.4840484858,0.4702752531,0.4738420844,0.4758929312,0.4725231826,0.7097325325,0.5164372325
33,0.4666863978,0.4643289149,0.4768686295,0.471930325,0.4672467709,0.4677156806,0.4691930413,1.163655996,0.4995345175
34,0.4793159366,0.4745195508,0.4682354331,0.4758887887,0.4668880701,0.473849982,0.4690144956,0.5234835148,0.5014103055
35,0.4789314866,0.4690414965,0.4609245956,0.4722002149,0.4660322964,0.4716565609,0.4678758979,1.101982355,0.4872526526
36,0.4858437181,0.4636220038,0.4713142812,0.4710564017,0.466983974,0.476257503,0.4692751169,0.5326826572,0.4860053658
37,0.482268393,0.4724182785,0.4715506136,0.4707527161,0.4716427326,0.4625479281,0.4696769714,0.4866251349,0.4833731353
38,0.4863323569,0.4685867727,0.4722772241,0.4635474682,0.4733956754,0.4757299423,0.4720682502,0.72457546,0.4788489938
39,0.4872085452,0.4744840264,0.4617716372,0.4742506146,0.4698428512,0.4692063034,0.4723125994,0.4681225419,0.4783203602
40,0.4809550345,0.4667131901,0.4672655463,0.4720611572,0.4718824923,0.4698425531,0.4716637135,0.5671374202,0.4801395833
41,0.4791657627,0.4731828272,0.4715495408,0.4682270288,0.471791625,0.4790711105,0.4727966785,0.4692324102,0.4800336063
42,0.4849208295,0.4731755853,0.4687722921,0.4811479449,0.4712795019,0.4859482944,0.4726859629,0.5357285142,0.4771332145
43,0.4844746292,0.4744732678,0.470636189,0.4741840363,0.4742450714,0.4728801847,0.4735752344,0.4770870209,0.4777208865
44,0.4882563949,0.4711820483,0.4742411077,0.4745368361,0.4798348844,0.4720290005,0.4741957486,0.4847077727,0.4765518606
45,0.4856891036,0.4722380042,0.4672287107,0.476772368,0.4771044552,0.4837691486,0.4738461673,0.57057935,0.4740773141
46,0.4828113019,0.4729419947,0.4660575092,0.4733118713,0.4782643616,0.4752857983,0.473962158,0.4765432477,0.4748471975
47,0.4800533652,0.4760236144,0.4767498672,0.4771075547,0.4771269858,0.4786595702,0.4746171832,0.4699423313,0.4748170972
48,0.4785561264,0.4739657938,0.4715613723,0.4870133102,0.4760505557,0.4696667194,0.475809902,0.4857034087,0.4757297933
49,0.4740774035,0.4862077832,0.4755693674,0.4788370728,0.4751008749,0.4807638526,0.4751011133,0.5885500312,0.4772924781
50,0.4860156476,0.473986268,0.4762554169,0.4753372669,0.475931257,0.4777056277,0.4745716751,0.7319138646,0.4740917981
51,0.4869847894,0.473557055,0.4802857339,0.476503998,0.4748623371,0.4781817794,0.474529624,0.56496346,0.4761897624
52,0.4809650779,0.4705849588,0.4770180285,0.4863204062,0.4751110971,0.4729033411,0.4742405415,0.6020377278,0.4734233618
53,0.4831849933,0.480378598,0.4732713103,0.4703142047,0.4747955799,0.4825390279,0.4742354751,0.4847510755,0.4728057981
54,0.473957479,0.471562624,0.4852891564,0.4720439315,0.470286727,0.4828276336,0.4717485309,1.036215782,0.4750718176
55,0.4883281291,0.4742797315,0.4783310592,0.4737017453,0.4703010321,0.4802626967,0.4698873162,0.8523278236,0.4695157409
56,0.4804562032,0.4696310461,0.4730708301,0.4710457325,0.4700806141,0.4781169891,0.4701497555,0.5079448819,0.470177412
57,0.4712695181,0.4772525132,0.4732921124,0.471032083,0.4690109491,0.4774868488,0.4699668884,0.5302664638,0.468580842
58,0.4678619504,0.4696926773,0.4671304822,0.4634310901,0.4659260213,0.4689146578,0.4647255838,1.484881282,0.4600283802
59,0.4717759192,0.4573205411,0.4578448832,0.461196959,0.4625850022,0.4650202692,0.4606538117,1.280672669,0.4552701712
60,0.4738057554,0.4651648998,0.4607602954,0.4784304798,0.4635472894,0.4713469148,0.4653997421,0.6756051779,0.4611871839
61,0.475299418,0.4604463577,0.4616858959,0.4652200937,0.4642366767,0.4753070176,0.4664423466,0.4831671119,0.4620735645
