window_index,DLinear,PatchTST,iTransformer,TimesNet
459,0.4375,0.4166666567,0.5416666865,0.4375
460,0.5416666865,0.4791666567,0.4583333433,0.4791666567
461,0.4375,0.4791666567,0.5208333135,0.5
462,0.4375,0.3958333433,0.4791666567,0.5
463,0.3541666567,0.5208333135,0.5625,0.4791666567
464,0.4375,0.4166666567,0.5208333135,0.4791666567
465,0.4583333433,0.5625,0.4375,0.4583333433
466,0.4375,0.5208333135,0.3958333433,0.4166666567
467,0.4583333433,0.4583333433,0.4583333433,0.4166666567
468,0.4583333433,0.4583333433,0.5208333135,0.4583333433
469,0.4791666567,0.4791666567,0.4583333433,0.4166666567
470,0.4375,0.5,0.4375,0.4375
471,0.5625,0.4375,0.4583333433,0.4791666567
472,0.5416666865,0.4791666567,0.5,0.4791666567
473,0.6041666865,0.5625,0.4583333433,0.4583333433
474,0.3958333433,0.4375,0.5208333135,0.5
475,0.5,0.4375,0.3541666567,0.5
476,0.4166666567,0.4166666567,0.4166666567,0.4375
477,0.4375,0.4583333433,0.4375,0.4583333433
478,0.4583333433,0.5416666865,0.5,0.3958333433
479,0.4375,0.375,0.4375,0.4375
480,0.4583333433,0.4583333433,0.4166666567,0.4166666567
481,0.4583333433,0.3125,0.3958333433,0.3958333433
482,0.4791666567,0.4791666567,0.375,0.375
483,0.4791666567,0.5208333135,0.3958333433,0.3958333433
484,0.4583333433,0.3541666567,0.375,0.3958333433
485,0.4166666567,0.4583333433,0.3958333433,0.3958333433
486,0.375,0.3333333433,0.4166666567,0.4166666567
487,0.4375,0.4791666567,0.3958333433,0.4166666567
488,0.5625,0.3958333433,0.3958333433,0.4166666567
489,0.4791666567,0.4791666567,0.3958333433,0.4166666567
490,0.4375,0.4166666567,0.4375,0.4166666567
491,0.4375,0.5,0.4375,0.4375
492,0.4583333433,0.3125,0.4791666567,0.4375
493,0.4166666567,0.4375,0.4166666567,0.4583333433
494,0.3958333433,0.3958333433,0.4583333433,0.4583333433
495,0.3958333433,0.3333333433,0.5,0.4583333433
496,0.4583333433,0.375,0.5,0.4583333433
497,0.3958333433,0.3541666567,0.5,0.4791666567
498,0.4583333433,0.375,0.3958333433,0.4583333433
499,0.4583333433,0.5625,0.4583333433,0.4583333433
500,0.4583333433,0.3541666567,0.4375,0.4375
501,0.5,0.4166666567,0.4375,0.4375
502,0.4166666567,0.5208333135,0.4791666567,0.4583333433
503,0.4791666567,0.5208333135,0.4166666567,0.4375
504,0.4791666567,0.5208333135,0.4791666567,0.4375
505,0.4375,0.5208333135,0.4375,0.5
506,0.5,0.3958333433,0.5833333135,0.5625
507,0.4375,0.4791666567,0.4583333433,0.4791666567
508,0.5416666865,0.5208333135,0.5416666865,0.4791666567
509,0.4166666567,0.5208333135,0.5208333135,0.5
510,0.4583333433,0.375,0.4583333433,0.5208333135
511,0.4166666567,0.5,0.5625,0.5
512,0.5208333135,0.4166666567,0.4791666567,0.5833333135
513,0.4791666567,0.5208333135,0.5416666865,0.3958333433
514,0.5208333135,0.5416666865,0.5,0.4583333433
515,0.4791666567,0.5,0.7083333135,0.5208333135
516,0.4375,0.4791666567,0.5208333135,0.4791666567
517,0.5208333135,0.3958333433,0.5833333135,0.5208333135
518,0.4583333433,0.3958333433,0.3541666567,0.5208333135
519,0.4583333433,0.4791666567,0.4583333433,0.3958333433
520,0.6041666865,0.5208333135,0.4166666567,0.6041666865
521,0.4791666567,0.4583333433,0.4166666567,0.5208333135
522,0.4375,0.5416666865,0.4375,0.5833333135
